"","X354","X616","X634","X711","X637","X627","X628","X624","X501","X340","X629","X631","X353","X351","X630","X302","X332","X341","X406","X322","X317","X636","X635","X674","X626","X673","X675","X632","X671","X670","X641","X306","X659","X668","X667"
"09/01/2022 17:00",1640,7839,1389,1552,4164,2712,1341,1200,2860,3007,9385,1095,4438,4645,10005,10320,1686,6147,1258,988,1074,2819,9181,8488,1741,7745,906,2197,9151,9391,8932,9356,1568,6671,6999
"09/01/2022 18:00",1360,6898,1248,1308,3568,2463,1154,973,2419,2444,8579,1055,3815,3998,8833,9144,1665,5193,1037,1011,274,2363,7874,7407,1434,6811,783,1871,8052,8341,7735,8108,1443,5813,6046
"09/01/2022 19:00",1053,5834,970,1072,2860,1933,1029,847,2078,2412,7198,777,3001,2988,7524,8107,1295,3963,838,278,117,2105,7152,6715,1187,6201,703,1825,7416,7734,7277,7203,1417,5012,5218
"09/01/2022 20:00",774,4941,781,969,2649,1561,940,711,1847,2794,6162,630,2793,2693,6478,6912,929,3390,629,103,108,1715,6297,5922,975,5320,673,1506,6456,6702,6353,6207,1188,4029,4130
"09/01/2022 21:00",594,3349,558,746,2055,1128,688,530,1385,2025,4441,496,2165,2039,4631,4971,693,2613,443,58,84,1197,4579,4262,646,3993,440,989,4778,4992,4855,4615,977,2808,2929
"09/01/2022 22:00",471,2313,405,626,1621,838,526,400,1057,1646,3498,366,1634,1476,3384,3419,517,1969,357,34,81,766,3102,2899,408,2785,279,586,3255,3362,3312,3032,775,1782,1826
"09/01/2022 23:00",275,1348,209,399,1005,466,294,236,643,957,1971,223,1007,845,1940,1889,284,1072,168,28,49,416,1780,1679,210,1614,124,328,1887,1941,1959,1888,542,1081,1090
"10/01/2022 00:00",162,869,160,316,764,298,286,194,584,761,1184,120,716,581,1226,1152,174,680,92,7,28,242,1038,950,91,899,70,144,1056,1077,1070,1066,293,604,656
"10/01/2022 01:00",94,565,120,201,537,171,192,132,402,486,784,69,500,393,762,756,80,437,66,6,17,145,675,657,78,599,38,106,679,648,653,646,135,427,455
"10/01/2022 02:00",86,461,98,195,468,147,145,122,331,317,639,62,369,295,556,514,49,319,47,4,10,91,466,450,52,411,27,76,503,444,428,539,48,353,387
"10/01/2022 03:00",78,644,227,345,707,313,234,192,560,541,791,64,636,440,761,704,51,399,42,5,5,149,636,610,100,522,39,82,611,560,545,709,66,518,597
"10/01/2022 04:00",215,1257,466,846,1389,720,473,497,1184,999,1589,104,1409,935,1591,1440,160,795,102,13,22,379,1233,1190,365,1028,85,262,1288,1209,1189,1681,121,1177,1303
"10/01/2022 05:00",602,3746,1163,1842,3300,1840,1090,1424,3003,2111,4523,340,3457,2596,4611,4329,672,2034,317,34,54,1289,3745,3579,1100,3024,321,873,3796,3749,3561,4901,353,3494,3580
"10/01/2022 06:00",1105,7842,2122,2587,6433,3371,1899,2570,5465,3893,9417,719,6683,5525,10194,10070,1833,5084,712,137,169,3108,8691,8262,2211,6923,685,2046,8507,8180,7522,9036,624,6370,6314
"10/01/2022 07:00",1649,10527,2784,2941,8271,4813,2189,2991,6428,4866,12984,1417,8820,7981,14398,14394,3031,8605,1751,316,384,4781,12784,11923,2747,10378,1347,3509,13032,13038,12046,12986,1771,9341,9420
"10/01/2022 08:00",1616,10674,2333,1905,7708,4438,2242,2512,5894,4776,13302,1526,7942,7652,14738,14972,3585,10148,1975,634,703,4681,13414,12301,2338,11371,1388,3456,13562,14049,13028,13172,2194,9179,9364
"10/01/2022 09:00",1498,8522,1529,2043,5565,3048,1813,1962,4526,4037,8712,1306,5979,5797,12024,12441,2968,7577,1540,610,630,3372,10752,10056,1885,9528,1134,2701,11653,11671,11447,10740,2042,7639,7763
"10/01/2022 10:00",1529,7980,1249,1767,5016,2772,1669,1540,3786,3905,7956,1157,5253,5120,10597,10809,2471,6874,1431,507,523,2831,9317,8791,1777,8228,932,2400,10137,9991,9580,9166,1860,6644,6984
"10/01/2022 11:00",1698,7927,1233,1799,4768,2665,1718,1367,3593,3614,10341,1267,5221,5025,10919,11104,2347,6952,1541,508,537,2944,9521,8825,1942,8470,1122,2528,10184,10143,9668,9287,2085,6669,7141
"10/01/2022 12:00",1851,8123,1325,1958,4905,2865,1781,1537,3886,3884,10830,1469,5424,5132,11255,11333,2565,7412,1671,589,557,2974,9726,8924,1983,8516,1094,2681,10521,10230,10001,9445,2503,6880,7608
"10/01/2022 13:00",1844,8176,1340,2147,5346,2991,1735,1524,3887,4099,11307,1379,5825,5539,11938,11776,2637,7624,1708,650,611,3112,10009,9306,2094,8881,999,2734,10824,10630,10106,9521,2333,7118,7904
"10/01/2022 14:00",2076,9114,1911,2720,6322,3582,1961,2049,4869,4380,12376,1614,6856,6377,12894,12626,2917,8589,1933,687,701,3534,10902,9980,2384,9483,1226,3164,12034,11771,11281,10653,2500,7990,8818
"10/01/2022 15:00",2321,11098,2552,2435,8584,4690,2350,2860,6455,5503,14431,1717,9450,8309,14950,15348,3657,9958,2151,819,747,4995,13248,12177,3022,11489,1447,3904,14293,13848,13202,12564,2812,9677,10424
"10/01/2022 16:00",2495,12169,3011,1759,10361,5716,2638,3655,7538,5547,14739,2015,11155,9903,15444,17103,3623,10638,2428,817,897,5364,15239,13809,3368,12969,1558,4311,16274,15931,15230,14258,2816,10624,11816
"10/01/2022 17:00",2456,12304,3147,3337,9935,5852,2598,3263,7072,5104,14194,1974,10381,9705,16423,18109,3700,10926,2629,504,520,5836,16214,14890,3867,14267,1886,4746,17695,17584,16595,16077,3190,11950,12947
"10/01/2022 18:00",1672,8454,2090,2047,5880,4091,1680,1660,3928,3320,11089,1493,6086,6260,11996,13049,2795,7644,1681,281,171,3967,10964,10039,2987,9600,1358,3431,12167,12052,11882,11083,2625,7844,8480
"10/01/2022 19:00",1195,5520,1182,1328,3608,2364,1103,950,2408,2532,7397,1070,3747,3924,7788,8278,1840,5026,1147,205,76,2519,6697,6106,1635,5940,816,2283,7539,7524,7429,6982,2068,4724,5238
"10/01/2022 20:00",861,4145,841,1091,2741,1935,909,737,1928,2245,5646,815,2861,3062,6046,6309,1258,3810,895,185,70,1873,5216,4675,1253,4685,612,1629,5915,5987,5766,5473,1822,3609,3928
"10/01/2022 21:00",650,3133,630,844,2287,1398,705,592,1552,1942,4483,566,2388,2282,4585,4637,829,2869,660,178,69,1369,4058,3762,831,3707,416,1248,4708,4682,4701,4474,1329,2729,2927
"10/01/2022 22:00",492,2359,492,741,1762,992,583,415,1178,1471,3523,446,1813,1582,3407,3449,585,2084,482,58,64,872,3048,2810,591,2766,298,838,3493,3705,3691,3484,1184,2128,2234
"10/01/2022 23:00",329,1377,279,513,1179,505,349,308,788,1069,2005,222,1159,980,1988,1917,371,1180,256,33,41,464,1772,1658,255,1585,139,320,1878,1949,2006,2011,593,1177,1249
"11/01/2022 00:00",222,888,163,363,788,336,253,233,608,658,1314,139,743,588,1246,1154,176,731,146,8,29,253,1049,975,134,977,71,194,1167,1228,1284,1375,326,805,855
"11/01/2022 01:00",140,597,152,305,640,244,193,158,438,451,803,89,599,428,801,723,115,431,64,4,8,129,635,614,79,565,35,83,659,662,692,815,139,525,563
"11/01/2022 02:00",119,530,161,305,584,229,152,135,384,360,728,58,494,367,676,704,80,404,40,0,1,101,595,549,70,476,25,79,570,503,516,630,67,443,490
"11/01/2022 03:00",92,716,248,384,846,329,273,237,659,568,914,70,801,496,892,733,70,469,43,5,7,150,675,672,138,596,31,120,759,704,678,870,65,604,632
"11/01/2022 04:00",202,1309,541,847,1461,718,469,552,1275,1026,1609,132,1478,971,1640,1439,155,777,120,15,29,399,1213,1181,333,1027,90,270,1298,1202,1215,1720,111,1224,1357
"11/01/2022 05:00",564,3736,1284,1876,3413,1821,1090,1359,2994,2029,4436,332,3641,2654,4547,4343,638,2086,289,43,89,1349,3733,3577,1176,3046,321,949,3895,3836,3625,5038,324,3471,3564
"11/01/2022 06:00",1165,7807,2089,2680,6438,3477,1905,2508,5349,3870,9562,744,6677,5538,10267,9994,1874,5176,714,117,166,3138,8591,8150,2203,6923,664,2038,8487,8210,7614,9129,647,6441,6289
"11/01/2022 07:00",1673,10826,2805,2134,8754,4798,2325,2966,6437,4672,13263,1351,8965,8151,14728,14723,3099,8766,1664,354,387,4887,13009,12022,2740,10681,1321,3448,13060,12983,11968,12678,1741,9062,9265
"11/01/2022 08:00",1630,10630,2360,1953,7617,4462,2085,2525,5752,4555,13363,1534,7886,7607,14586,14957,3614,10241,1957,626,677,4825,13328,12331,2340,11407,1456,3593,14242,14348,13392,13247,2181,9316,9576
"11/01/2022 09:00",1517,8652,1571,1967,5588,3200,1781,1933,4370,3888,11233,1241,5846,5828,12018,12302,2889,7810,1508,555,686,3308,10592,9984,1984,9373,1134,2864,11539,11453,11197,10759,2024,7559,7777
"11/01/2022 10:00",1466,7615,1249,1754,4670,2586,1580,1520,3622,3709,10039,1100,4947,4940,10700,10603,2336,6957,1404,524,546,2707,9244,8716,1767,8249,1003,2382,9991,9591,9222,8783,1827,6283,6817
"11/01/2022 11:00",1618,7940,1238,1784,4661,2631,1655,1474,3701,3459,10482,1318,4984,4882,10924,11362,2365,7014,1506,560,517,2996,9548,8878,2018,8445,1092,2762,10364,10334,9915,9270,2319,6577,7206
"11/01/2022 12:00",1817,8102,1334,1845,4928,2831,1615,1587,3847,3845,10922,1418,5468,5251,11644,11587,2636,7549,1602,672,628,3051,9742,9008,2024,8766,1128,2883,10794,10549,10123,9213,2400,6764,7620
"11/01/2022 13:00",1735,8277,1362,1854,5233,2978,1633,1596,3928,3857,11229,1431,5670,5415,11716,11747,2333,7655,1634,642,652,3112,10107,9301,2061,8902,1090,2887,10824,10641,10117,9535,2248,6921,7718
"11/01/2022 14:00",2036,9231,1964,2392,6563,3366,1892,2137,4867,4346,12577,1580,7070,6561,13128,12792,2920,8524,1905,740,669,3613,11130,10206,2353,9849,1263,3196,12331,12185,11539,10724,2339,8026,8762
"11/01/2022 15:00",2265,11221,2626,862,8654,4748,2441,2874,6447,5136,14749,1860,9367,8169,16085,15947,3656,10094,2143,806,803,4892,13637,12541,2915,11749,1516,3905,14693,14308,13604,12797,2638,9519,10441
"11/01/2022 16:00",2569,12675,2981,1711,10141,5657,2608,3619,7513,5211,15676,1977,10802,9446,16650,17688,3665,11014,2239,897,965,5494,15400,14219,3402,13458,1713,4480,16653,16447,15527,14631,2841,11002,11904
"11/01/2022 17:00",2469,12514,3247,3306,9633,5696,2517,3290,7031,5020,15195,1969,10238,9454,16986,18427,4011,11157,2562,556,478,5906,16502,15286,3782,14360,1855,4688,17743,17616,16670,16235,3042,11943,12904
"11/01/2022 18:00",1754,8984,2125,1602,6048,4154,1733,1759,4024,3332,11918,1513,6382,6541,12653,13698,2976,8148,1748,338,180,4108,11537,10547,2836,10014,1375,3484,12521,12486,12109,11262,2840,7693,8447
"11/01/2022 19:00",1205,5755,1262,1327,3791,2412,1172,919,2543,2499,7796,1069,3975,4051,8287,8885,1878,5321,1252,248,82,2594,7259,6620,1756,6455,826,2286,8046,8178,8040,7578,2282,4946,5306
"11/01/2022 20:00",895,4600,889,1088,3024,1978,990,772,2057,2238,6423,747,3081,3299,6760,7054,1331,4192,874,237,72,2040,5930,5388,1285,5372,672,1823,6630,6749,6481,6167,2011,3970,4288
"11/01/2022 21:00",710,3502,702,884,2370,1513,684,568,1533,1941,5190,577,2452,2347,5398,5565,851,3029,672,218,86,1522,4894,4421,947,4356,486,1371,5341,5570,5541,5037,1581,3167,3388
"11/01/2022 22:00",559,2491,470,746,1846,939,563,435,1171,1544,3796,426,1859,1668,3605,3438,547,2260,468,59,68,892,3007,2793,531,2730,275,802,3340,3451,3462,3308,1100,1977,2140
"11/01/2022 23:00",315,1467,326,547,1170,568,337,302,827,1031,2216,249,1182,1021,2271,2271,343,1291,249,37,52,510,2057,1924,298,1853,184,352,2214,2249,2268,2083,740,1226,1273
"12/01/2022 00:00",208,908,210,384,836,369,266,233,611,687,1329,141,827,636,1287,1228,218,778,143,15,35,252,1107,1040,122,996,95,229,1233,1305,1370,1330,356,816,840
"12/01/2022 01:00",127,633,168,344,623,248,164,167,455,432,902,90,582,414,825,760,112,461,75,8,12,171,682,663,77,633,29,105,749,757,835,929,158,564,612
"12/01/2022 02:00",110,551,155,305,595,245,162,145,426,382,682,71,506,375,653,599,95,397,43,6,2,110,521,519,74,454,19,78,558,509,524,656,81,424,469
"12/01/2022 03:00",100,705,257,394,834,358,256,242,648,585,898,59,806,478,876,786,84,472,47,1,4,158,686,664,143,613,28,122,750,683,677,877,82,613,693
"12/01/2022 04:00",233,1373,497,848,1442,763,505,505,1245,1066,1636,118,1461,1021,1664,1489,168,773,116,11,16,397,1247,1239,344,1037,86,246,1290,1212,1202,1698,102,1262,1398
"12/01/2022 05:00",599,3640,1231,1911,3434,1957,1088,1438,3033,2040,4420,342,3555,2649,4621,4314,672,2066,324,56,42,1358,3654,3528,1164,2993,308,939,3835,3825,3653,4890,338,3431,3522
"12/01/2022 06:00",1130,7850,2134,2613,6434,3384,1882,2524,5319,3705,9449,745,6662,5516,10186,9961,1933,4985,709,118,193,3109,8558,8167,2245,6932,682,2033,8417,8231,7546,9181,657,6282,6268
"12/01/2022 07:00",1641,10683,2713,2947,8641,4679,2193,2908,6364,4651,12992,1371,8800,8026,14603,14515,3110,8696,1755,359,349,4882,12712,11882,2664,10438,1280,3441,13048,12988,12030,12748,1652,9065,9275
"12/01/2022 08:00",1617,10734,2308,2500,7425,4459,2008,2506,5638,4477,13484,1502,7706,7541,14667,14061,2796,10120,2021,663,665,4685,12383,11199,2431,7962,1463,3693,14341,14229,13431,13223,2205,9303,9568
"12/01/2022 09:00",1380,8936,1706,1950,5634,3133,1850,1879,4368,3982,11435,1298,5831,5861,12344,12808,2281,7814,1538,594,659,3409,11395,10632,1917,8383,1257,2903,11064,11166,10801,10405,1790,7282,7643
"12/01/2022 10:00",1487,8113,1317,1763,4788,2554,1618,1536,3700,3791,10786,1092,5169,5041,11395,11239,2580,7194,1520,519,584,2913,9631,9079,1812,8463,1089,2493,10302,10083,9715,9336,1734,6638,7205
"12/01/2022 11:00",1680,8134,1317,1789,4784,2670,1657,1485,3733,3703,11010,1313,5106,5109,11414,11491,2557,7304,1589,609,614,2967,9858,9164,2006,8649,1183,2741,10619,10508,10005,9384,2025,6695,7323
"12/01/2022 12:00",1793,8418,1300,1931,5042,2861,1730,1499,3876,3974,11232,1466,5562,5362,11631,12042,2661,7521,1746,668,686,3113,10321,9493,2145,9122,1279,2989,11274,11149,10696,9439,2503,6821,7654
"12/01/2022 13:00",1861,8623,1490,2099,5349,2922,1670,1676,4004,4389,11883,1499,5829,5660,12400,12465,2552,8004,1671,701,687,3187,10748,9969,2242,9392,1204,3083,11453,11138,10673,9631,2350,7056,7841
"12/01/2022 14:00",1977,9377,1860,2718,6532,3660,1864,2053,4771,4595,12712,1632,7126,6628,13437,13380,2999,8694,1887,735,724,3799,11325,10589,2320,10134,1218,3272,12618,12282,11698,10954,2381,8075,8963
"12/01/2022 15:00",2281,11181,2536,3275,8531,4758,2345,2958,6501,5229,14897,1821,9227,8281,15830,15933,3878,10359,2214,844,762,4895,13778,12657,2897,11793,1433,3775,14587,14139,13420,12795,2650,9639,10620
"12/01/2022 16:00",2502,12745,2987,2547,9955,5474,2571,3697,7556,5450,15905,1951,10713,9391,17202,17840,3836,10969,2404,951,930,5632,15905,14584,3465,13717,1697,4393,16699,16686,15612,14639,2684,11058,12178
"12/01/2022 17:00",2382,13020,3108,3296,9840,5691,2553,3313,7022,5010,16187,1915,10441,9567,17506,18890,3948,11353,2627,575,517,5877,16859,15385,3740,14414,1879,4652,17935,17625,16824,15902,3047,11649,12851
"12/01/2022 18:00",1766,9776,2200,2231,6327,4203,1745,1840,4213,3467,12930,1597,6704,6633,13483,14149,2976,8569,1762,344,201,4248,12146,11045,2927,10376,1385,3583,12760,12643,12355,11346,2701,7890,8738
"12/01/2022 19:00",1248,6026,1241,1334,3993,2504,1138,1020,2499,2646,8460,1076,4043,4217,8952,9212,1881,5463,1222,267,104,2656,7707,6887,1787,6666,827,2315,8199,8148,8059,7584,2389,5219,5704
"12/01/2022 20:00",884,4705,909,1109,3095,2103,989,822,2110,2549,6604,826,3108,3353,7031,7109,1462,4425,970,288,84,2050,5868,5397,1233,5282,639,1791,6516,6619,6444,6106,2028,4032,4452
"12/01/2022 21:00",816,4807,744,1016,2600,1658,702,686,1677,2187,7568,593,2696,2575,7043,6496,1057,3857,724,318,108,1669,5464,4836,941,4517,561,1356,5335,5371,5285,4856,1626,3063,3337
"12/01/2022 22:00",521,2457,496,788,1947,1098,539,472,1219,1636,3852,453,2021,1804,4044,3924,599,2374,456,66,85,985,3523,3276,580,3194,373,801,3856,3926,4000,3612,1172,2214,2350
"12/01/2022 23:00",353,1484,323,571,1230,594,339,316,830,1093,2315,239,1203,1060,2234,2125,391,1387,242,43,63,505,1912,1743,281,1698,150,414,2028,2079,2118,1990,695,1232,1288
"13/01/2022 00:00",220,976,222,392,846,377,259,236,587,745,1457,147,837,668,1469,1401,225,870,146,13,26,286,1244,1185,133,1174,67,211,1371,1370,1427,1516,401,836,895
"13/01/2022 01:00",119,679,166,358,684,302,194,196,510,482,950,85,640,444,960,844,140,528,76,10,13,178,781,737,85,680,42,126,823,831,874,994,163,651,681
"13/01/2022 02:00",105,561,156,307,641,246,181,141,405,360,746,83,567,420,730,684,96,383,64,6,10,120,596,590,75,547,23,81,646,572,582,698,81,489,530
"13/01/2022 03:00",104,714,252,361,825,323,250,244,653,548,935,64,754,483,896,847,72,443,56,4,6,170,733,707,124,605,46,114,709,656,633,882,90,607,631
"13/01/2022 04:00",220,1340,477,860,1462,735,529,546,1305,1049,1624,132,1500,988,1682,1453,162,745,113,4,23,383,1268,1241,324,1033,79,299,1327,1243,1238,1656,86,1205,1325
"13/01/2022 05:00",630,3632,1174,1908,3430,1925,1118,1400,3017,2139,4438,345,3593,2648,4651,4312,678,2098,311,48,54,1339,3738,3588,1133,3004,322,897,3821,3724,3538,4928,350,3368,3500
"13/01/2022 06:00",1151,7648,2100,2597,6426,3462,1806,2550,5319,3746,9393,706,6625,5516,10123,9823,1861,4959,697,144,186,2993,8446,8097,2157,6870,677,2001,8359,8084,7501,8979,626,6307,6285
"13/01/2022 07:00",1625,10576,2701,2909,8735,4848,2170,2933,6252,4878,12784,1311,8807,8047,14503,14469,2943,8744,1639,374,382,4744,12744,11850,2635,10422,1326,3391,12960,12862,11781,12595,1619,8989,9314
"13/01/2022 08:00",1717,10695,2312,2566,7543,4409,2098,2443,5627,4679,13469,1506,7891,7596,14763,14773,3586,10108,1850,716,717,4740,13116,12120,2303,11322,1435,3566,14267,14440,13508,13001,2083,9203,9478
"13/01/2022 09:00",1451,9015,1510,1960,5514,3168,1802,1941,4519,3964,11350,1243,5721,5826,12286,12386,2796,8070,1476,653,678,3353,10791,10120,1853,9443,1086,2736,11587,11631,11254,10751,1928,7639,7883
"13/01/2022 10:00",1362,8218,1266,1673,4898,2695,1728,1634,3852,4016,10697,1148,5282,5050,11269,11176,2504,7252,1450,591,543,2869,9693,9015,1767,8647,1028,2497,10235,10083,9708,9067,1837,6608,7297
"13/01/2022 11:00",1693,8394,1038,1841,4830,2900,1724,1409,3709,3897,10916,1287,5306,5188,11574,11720,2403,7414,1474,617,586,3098,10138,9563,1960,9233,1062,2626,11042,10967,10587,9665,2222,7117,7725
"13/01/2022 12:00",1921,8425,960,2053,5171,3033,1659,1505,3730,4161,11538,1517,5540,5470,12183,12224,2456,7963,1545,710,630,3234,10499,9642,2047,9204,1212,2766,11168,11035,10548,10164,2458,7343,8082
"13/01/2022 13:00",1981,8855,1005,2366,5468,3282,1751,1695,4117,4487,12097,1453,6035,5704,12791,12697,2115,7938,1724,698,676,3232,10980,10131,2041,9652,1205,2912,11495,11293,10829,10200,2242,7601,8431
"13/01/2022 14:00",2083,9931,1314,2922,6724,3826,1955,2105,4978,4853,13269,1703,7409,6716,13813,13675,2899,8810,1898,710,751,3867,11902,10908,2306,10524,1285,3141,12914,12900,12171,11588,2285,8607,9325
"13/01/2022 15:00",2255,11385,1749,2587,8867,5171,2427,2998,6717,5544,15129,1758,9605,8396,16317,16437,3630,10190,2052,948,770,5028,14434,13149,2984,12298,1519,3936,15126,14868,13989,13387,2711,10118,11002
"13/01/2022 16:00",2509,12738,1892,2647,10112,5644,2643,3570,7494,5723,15982,1909,10869,9383,17564,18258,3690,11132,2252,1038,814,5473,16261,14999,3336,14208,1626,4364,17177,17061,16105,15038,2809,11402,12517
"13/01/2022 17:00",2400,12658,2047,3404,9849,5817,2506,3284,6946,5183,15586,1964,10277,9530,17047,18584,3921,11255,2433,639,502,5783,16658,15197,3801,14433,1867,4821,17897,17794,17015,16138,2984,11969,13072
"13/01/2022 18:00",1789,9325,1978,2280,6275,4142,1731,1884,4273,3413,12149,1577,6575,6505,13041,14073,3009,8338,1767,381,202,4113,11979,10999,2752,10470,1410,3758,13055,12874,12614,11646,2712,8184,9053
"13/01/2022 19:00",1253,6120,1126,1519,3885,2580,1251,966,2592,2763,8369,1170,4009,4172,8864,9580,1954,6080,1192,287,94,2669,7959,7208,1670,7072,935,2392,8691,8730,8639,7986,2282,5366,5976
"13/01/2022 20:00",896,4959,864,1176,3266,2031,1037,836,2196,3045,6907,911,3353,3404,7261,7527,1470,4757,932,306,98,2059,6303,5709,1270,5469,761,1866,6734,6947,6738,6359,2087,4183,4599
"13/01/2022 21:00",752,3664,698,1037,2659,1600,748,642,1738,2367,5499,591,2733,2683,5623,5816,1006,3706,663,403,121,1499,5027,4627,983,4447,565,1457,5546,5715,5669,5064,1731,3223,3503
"13/01/2022 22:00",573,2485,468,807,1980,1062,547,498,1241,2177,3798,427,2030,1902,3913,3890,646,2829,433,102,142,927,3523,3249,567,3111,348,919,3827,3926,3878,3705,1165,2207,2401
"13/01/2022 23:00",368,1476,308,543,1331,580,370,286,797,1292,2358,253,1281,1136,2344,2307,396,1728,266,61,91,557,2016,1871,337,1864,188,466,2226,2386,2456,2390,775,1371,1477
"14/01/2022 00:00",247,969,230,406,882,422,260,231,600,758,1600,172,866,707,1536,1468,259,985,161,26,52,334,1320,1247,155,1218,114,263,1447,1476,1551,1626,416,949,989
"14/01/2022 01:00",143,706,180,371,713,279,205,176,494,594,1116,107,678,476,1036,967,158,579,93,20,28,170,848,808,76,773,42,122,902,866,923,987,243,632,646
"14/01/2022 02:00",108,621,160,298,695,245,196,160,462,397,785,75,606,437,776,705,95,439,56,7,6,117,595,570,90,533,15,96,628,594,600,701,113,514,518
"14/01/2022 03:00",116,748,205,379,888,321,275,249,693,597,951,67,818,558,910,836,88,500,41,7,11,189,744,736,115,640,43,103,755,725,691,925,86,650,694
"14/01/2022 04:00",187,1223,425,769,1376,677,447,432,1094,1016,1563,114,1414,892,1524,1389,157,778,113,7,22,306,1190,1154,288,1031,80,256,1285,1201,1199,1662,112,1243,1330
"14/01/2022 05:00",545,3092,1011,1687,2976,1600,889,1142,2485,1813,3859,305,3140,2263,4038,3723,608,1895,299,43,53,1131,3259,3149,1032,2722,236,820,3472,3330,3128,4338,290,2904,3045
"14/01/2022 06:00",1065,6852,1847,2417,5754,3032,1672,2191,4689,3580,8517,627,6026,4865,9159,8853,1752,4686,616,150,196,2539,7807,7421,1791,6273,572,1662,7462,7252,6771,8261,598,5710,5749
"14/01/2022 07:00",1435,9758,2383,1932,7592,4114,2117,2581,5770,4556,11979,1072,7732,6983,13063,12979,2645,7761,1336,505,439,4186,11384,10609,2192,9321,1131,2486,11001,11022,10290,11324,1380,8046,8314
"14/01/2022 08:00",1458,9911,2035,2226,6634,3923,1946,2200,5018,4397,12656,1252,6859,6749,13792,13785,3188,9102,1581,967,818,4260,12123,11184,2020,10348,1208,3012,12793,12727,11851,12054,1976,8485,8795
"14/01/2022 09:00",1340,8787,1594,2059,5426,3075,1832,1716,4297,4171,11475,1077,5585,5639,12389,12463,2594,7833,1296,766,752,3366,10822,10107,1775,9430,1130,2572,11332,11336,10954,10656,1845,7672,8110
"14/01/2022 10:00",1482,8783,1411,1875,5142,2801,1781,1565,4034,4254,11663,1137,5598,5374,12180,12220,2461,7531,1400,672,665,3159,10550,9797,1819,9216,1037,2544,11064,10977,10427,10277,1942,7618,8291
"14/01/2022 11:00",1790,9437,1353,1837,5040,2994,1840,1500,3944,4055,12279,1321,5574,5399,12812,13089,2577,7898,1600,870,698,3388,11307,10485,2084,9860,1200,2826,11941,11595,11025,10588,2256,7992,8905
"14/01/2022 12:00",2016,9841,1609,2246,5443,3270,1986,1608,4251,4376,12955,1463,6038,5908,13610,13853,3060,8488,1772,1042,796,3661,12065,11139,2343,10444,1293,3113,12633,12427,11821,11193,2673,8572,9541
"14/01/2022 13:00",2085,10691,1742,2445,5904,3538,2037,1888,4693,4874,13840,1515,6508,6182,14333,14653,2778,8964,1833,1143,892,3889,12858,11902,2334,11212,1280,3201,13612,13230,12459,11964,2758,9200,10262
"14/01/2022 14:00",2246,11502,2083,2930,7038,4028,2277,2270,5524,5091,14900,1681,7750,7125,15625,15930,3009,9581,1876,1060,913,4085,14090,12880,2515,12176,1368,3479,14720,14344,13582,13119,2704,10057,11152
"14/01/2022 15:00",2449,13078,2474,3231,8835,4838,2701,2959,6754,5592,16307,1692,9583,8537,17520,18188,3486,10367,2094,1285,1103,5101,16089,14719,3000,13736,1513,3913,16723,16029,15259,14705,2811,11288,12576
"14/01/2022 16:00",2891,12740,2825,1662,10529,5249,2760,3307,7295,5677,5113,1798,11338,9268,14767,17324,3583,10524,2381,1398,1270,5194,15814,14608,3321,13897,1653,4311,17128,16736,15733,15238,2938,11590,12846
"14/01/2022 17:00",2835,12982,3013,3260,11312,5643,3065,3077,7048,5127,2316,1905,11833,9987,14876,17876,3570,10733,2806,1066,709,5214,16267,14947,2929,14328,1657,4560,17506,17236,16344,15999,3116,11678,12846
"14/01/2022 18:00",2472,10268,2144,2319,8653,4571,2355,1957,4948,3659,917,1549,8797,8364,12884,15314,3296,8911,2166,580,242,4239,13402,12342,2827,11551,1510,3748,13765,13675,13260,12535,3006,8995,9920
"14/01/2022 19:00",1734,7259,1274,1593,5185,2971,1504,1088,3008,3025,6094,1130,5338,5371,10869,11503,2166,5957,1371,353,133,2767,9799,8967,1982,8548,1064,2629,10000,9933,9656,8780,2570,6145,6878
"14/01/2022 20:00",1119,5466,953,1320,3535,2197,1139,854,2279,3107,7822,860,3769,3697,8041,8314,1293,4794,920,383,135,2244,7043,6370,1417,6109,730,1981,7132,7155,6990,6705,2084,4601,5215
"14/01/2022 21:00",975,4921,844,1181,3248,1817,996,750,2033,2710,6789,726,3374,3290,7213,7105,1772,4379,761,428,119,1839,6025,5539,1154,5327,612,1626,6503,6706,6468,6234,1838,3823,4283
"14/01/2022 22:00",785,3587,644,1004,2476,1381,706,557,1499,2321,5539,532,2582,2507,5576,5453,806,3348,561,139,142,1276,4867,4508,808,4256,472,1040,4890,4940,4877,4426,1359,2812,3041
"14/01/2022 23:00",565,2248,456,651,1540,871,468,343,968,1331,3615,380,1582,1475,3281,3245,528,2233,386,85,101,819,2896,2680,471,2608,254,686,3145,3193,3182,3114,981,1798,1961
"15/01/2022 00:00",326,1495,344,500,1065,591,356,229,686,817,2428,273,1113,938,2320,2266,334,1340,277,36,53,524,1987,1823,306,1771,182,434,2156,2197,2198,2049,653,1254,1294
"15/01/2022 01:00",227,1009,199,374,790,353,220,181,494,639,1755,150,796,614,1515,1426,222,814,142,15,22,319,1241,1173,135,1138,80,250,1288,1329,1366,1239,378,752,799
"15/01/2022 02:00",170,734,182,252,614,264,186,104,374,362,1209,115,537,472,1080,968,165,628,112,11,3,218,868,817,86,759,49,115,872,870,892,943,227,564,584
